City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kapaa,US,80.58,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
8,Carutapera,BR,78.42,scattered clouds,-1.195,-46.02,Lidera
10,Rikitea,PF,76.1,broken clouds,-23.1203,-134.9692,People ThankYou
13,Gigmoto,PH,81.37,broken clouds,13.7796,124.39,Cj's Travellers Inn
17,Mogadishu,SO,77.38,few clouds,2.0371,45.3438,Hotel Juba
19,Georgetown,MY,85.93,few clouds,5.4112,100.3354,Cititel Penang
21,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
33,Santiago Del Estero,AR,76.8,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
36,Butaritari,KI,82.26,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
37,Ende,ID,86.81,broken clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
39,Cabo San Lucas,MX,76.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
43,Saint-Paul,RE,77.09,overcast clouds,-21.0096,55.2707,Boucan Canot
48,Kloulklubed,PW,86.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
50,Vaini,TO,84.36,few clouds,-21.2,-175.2,Keleti Beach Resort
53,Vanimo,PG,85.82,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
57,Faanui,PF,81.19,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
58,Buala,SB,84.61,light rain,-8.145,159.5921,Maringe Lagoon Lodge
65,Pemangkat,ID,81.93,light rain,1.1667,108.9667,Ramah Kost KITA
66,Isangel,VU,85.73,few clouds,-19.55,169.2667,Tanna Lodge
70,Piacabucu,BR,79.66,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
73,Mahibadhoo,MV,82.22,broken clouds,3.7833,72.9667,Omadhoo Inn
77,Hilo,US,81.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
82,Puerto Escondido,MX,83.23,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
84,Muli,MV,82.17,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
89,Avarua,CK,80.65,overcast clouds,-21.2078,-159.775,Paradise Inn
93,Livramento,BR,77.68,light rain,-3.0254,-60.1803,Refúgio Samauma
94,Yulara,AU,89.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
95,Atuona,PF,78.49,broken clouds,-9.8,-139.0333,Villa Enata
103,Inhambane,MZ,75.88,few clouds,-23.865,35.3833,Oceano
104,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
113,Namatanai,PG,86.47,light rain,-3.6667,152.4333,Seagulls Inn Namatani
125,Cayenne,GF,81.09,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
130,Maputo,MZ,76.23,broken clouds,-25.9653,32.5892,Pestana Rovuma
131,Sabang,ID,82.4,overcast clouds,5.8933,95.3214,Hotel Citra
137,Touros,BR,81.5,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
138,Eydhafushi,MV,80.76,broken clouds,5.1033,73.0708,Soneva Fushi
143,Kulhudhuffushi,MV,80.87,overcast clouds,6.6221,73.07,Haajy Guest House 1
149,Sorong,ID,84.2,heavy intensity rain,-0.8833,131.25,Waigo Splash Hotel
150,Carnarvon,AU,78.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
151,Mahebourg,MU,75.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
152,Inirida,CO,78.04,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
154,Tual,ID,84.0,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
155,Bairiki,KI,87.8,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
156,Coahuayana,MX,85.48,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
166,Laem Sing,TH,84.54,overcast clouds,12.4816,102.0738,Laemsing Whitehouse Resort
170,Hithadhoo,MV,81.52,broken clouds,-0.6,73.0833,Scoop Guest House
173,San Patricio,US,75.88,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
175,Nelson Bay,AU,77.05,clear sky,-32.7167,152.15,Mantra Nelson Bay
177,Atambua,ID,84.51,scattered clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
181,Vao,NC,79.27,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
182,Lorengau,PG,86.09,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
183,Delta,NG,75.88,clear sky,5.5,6.0,Prestige Hotel
189,Manaure,CO,79.11,clear sky,11.7751,-72.4445,Hotel Palaaima
190,Teahupoo,PF,78.76,scattered clouds,-17.8333,-149.2667,Vanira Lodge
192,Payo,ID,77.36,overcast clouds,-3.7508,103.6372,Mess keban agung
199,Batticaloa,LK,80.64,overcast clouds,7.7102,81.6924,Grand Star Guest House
200,Ayame,CI,75.72,scattered clouds,5.6083,-3.1563,Hotel Bossan
202,Kieta,PG,85.42,light rain,-6.2167,155.6333,Uruna Bay Retreat
207,Emerald,AU,84.34,clear sky,-23.5333,148.1667,The Irish Village
212,Saint-Philippe,RE,76.55,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
214,Cabedelo,BR,81.27,broken clouds,-6.9811,-34.8339,Hotel Pigalle
217,Takoradi,GH,80.02,light rain,4.8845,-1.7554,Raybow International Hotel
218,Ballina,AU,87.98,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
223,Dickinson,US,76.21,overcast clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
225,Souillac,MU,75.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
231,Omboue,GA,77.47,overcast clouds,-1.5746,9.2618,Hotel Olako
232,Port Moresby,PG,89.02,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
241,Kavaratti,IN,82.42,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
242,Mount Isa,AU,89.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
258,Sampit,ID,82.76,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
265,Kudahuvadhoo,MV,82.18,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
272,Nkhata Bay,MW,76.32,light rain,-11.6066,34.2907,Mayoka Village
274,Kapit,MY,82.89,broken clouds,2.0167,112.9333,Hotel Meligai Kapit
288,Itarema,BR,80.85,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
296,Puerto Quijarro,BO,78.71,overcast clouds,-17.7833,-57.7667,Hotel palance
302,Labuhan,ID,84.2,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
309,Port Macquarie,AU,83.89,clear sky,-31.4333,152.9167,Rydges Port Macquarie
312,Ternate,ID,84.43,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
314,Monte Alegre,BR,79.52,overcast clouds,-2.0078,-54.0692,Hotel Shekinah
315,Maxixe,MZ,75.06,few clouds,-23.8597,35.3472,Oceano
317,Salalah,OM,78.89,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
318,Panacan,PH,83.44,overcast clouds,9.2463,118.4082,Mom's Place Resort
322,Bahile,PH,86.2,clear sky,9.9995,118.7878,Nitivos Beach Resort
323,Dhidhdhoo,MV,81.32,overcast clouds,6.8833,73.1,Dhidhoo beach
339,Anito,PH,79.75,overcast clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
341,Peto,MX,75.42,overcast clouds,20.1333,-88.9167,Hotel D'Rodi&Eve
344,Sainte-Rose,GP,77.18,clear sky,16.3324,-61.6979,Villa - Duzer
347,Port Hedland,AU,89.65,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
351,Punta De Piedra,VE,77.74,overcast clouds,7.6176,-71.4916,Casa 7 Punta de Piedra
364,Kawalu,ID,80.55,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
365,Hambantota,LK,78.3,overcast clouds,6.1241,81.1185,Bungalow 63
366,Freetown,SL,80.1,scattered clouds,8.484,-13.2299,The Country Lodge Hotel
371,Bubaque,GW,81.66,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
373,Black River,JM,78.8,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
375,Victoria Point,AU,89.08,broken clouds,-27.5833,153.3,Bay Retreat Motel
384,Geraldton,AU,75.61,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
391,Ngawi,ID,84.22,broken clouds,-7.4038,111.4461,GWA KOST NGAWI
397,Dingle,PH,81.81,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
402,Harper,LR,79.23,light rain,4.375,-7.7169,Screensaver
408,Kuala Terengganu,MY,84.15,scattered clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
409,Labuan,MY,86.36,few clouds,5.2767,115.2417,Tiara Labuan Hotel
