City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kapaa,US,22.0752,-159.319,80.58,84,20,1.99,few clouds
1,Cidreira,BR,-30.1811,-50.2056,66.76,67,4,9.57,clear sky
2,Karratha,AU,-20.7377,116.8463,100.98,22,13,3.67,few clouds
3,Ushuaia,AR,-54.8,-68.3,51.46,62,20,12.66,few clouds
4,Albany,US,42.6001,-73.9662,29.68,76,99,3.29,overcast clouds
5,Iqaluit,CA,63.7506,-68.5145,4.73,72,75,8.05,light snow
6,Shimoda,JP,34.6667,138.95,53.1,67,100,9.73,overcast clouds
7,Sudbury,CA,46.49,-80.99,31.06,93,100,9.78,snow
8,Carutapera,BR,-1.195,-46.02,78.42,88,48,5.44,scattered clouds
9,Punta Arenas,CL,-53.15,-70.9167,50.11,62,0,4.61,clear sky
10,Rikitea,PF,-23.1203,-134.9692,76.1,73,64,19.42,broken clouds
11,Mar Del Plata,AR,-38.0023,-57.5575,68.09,90,100,7.0,overcast clouds
12,Maiduguri,NG,11.8464,13.1603,65.91,32,3,8.63,clear sky
13,Gigmoto,PH,13.7796,124.39,81.37,80,58,16.98,broken clouds
14,Dikson,RU,73.5069,80.5464,-26.59,98,29,5.7,scattered clouds
15,Tarragona,ES,41.129,1.249,61.05,66,40,17.0,scattered clouds
16,Guerrero Negro,MX,27.9769,-114.0611,63.19,78,100,4.36,overcast clouds
17,Mogadishu,SO,2.0371,45.3438,77.38,73,11,17.6,few clouds
18,Hokitika,NZ,-42.7167,170.9667,67.39,75,100,6.93,overcast clouds
19,Georgetown,MY,5.4112,100.3354,85.93,70,20,1.99,few clouds
20,Kodiak,US,57.79,-152.4072,36.91,65,75,4.61,broken clouds
21,Kahului,US,20.8947,-156.47,80.62,76,40,24.16,scattered clouds
22,Sagua La Grande,CU,22.8067,-80.0756,70.79,84,32,7.99,scattered clouds
23,Yerbogachen,RU,61.2767,108.0108,-0.63,93,100,10.85,overcast clouds
24,Beringovskiy,RU,63.05,179.3167,-6.29,91,100,15.75,overcast clouds
25,Ribeira Grande,PT,38.5167,-28.7,63.48,63,98,10.92,overcast clouds
26,Jalu,LY,29.0331,21.5482,53.91,50,3,7.14,clear sky
27,Puerto Ayora,EC,-0.7393,-90.3518,70.3,87,96,5.57,overcast clouds
28,Oda,JP,35.1833,132.5,56.62,59,20,7.96,few clouds
29,Bambous Virieux,MU,-20.3428,57.7575,74.21,94,40,5.75,scattered clouds
30,Tabuk,PH,17.4189,121.4443,74.1,73,77,4.61,broken clouds
31,Busselton,AU,-33.65,115.3333,74.08,61,97,11.97,overcast clouds
32,Tomatlan,MX,19.9333,-105.25,68.85,77,56,3.38,broken clouds
33,Santiago Del Estero,AR,-27.7951,-64.2615,76.8,47,100,16.37,overcast clouds
34,Ancud,CL,-41.8697,-73.8203,60.33,89,0,3.47,clear sky
35,Jamestown,US,42.097,-79.2353,35.71,71,90,7.0,light snow
36,Butaritari,KI,3.0707,172.7902,82.26,77,100,8.43,overcast clouds
37,Ende,ID,-8.8432,121.6623,86.81,68,60,6.29,broken clouds
38,Bredasdorp,ZA,-34.5322,20.0403,64.27,91,99,9.24,overcast clouds
39,Cabo San Lucas,MX,22.8909,-109.9124,76.51,70,1,23.02,clear sky
40,Worthington,US,40.0931,-83.018,44.65,65,90,4.61,overcast clouds
41,Antofagasta,CL,-23.65,-70.4,63.68,78,41,2.51,scattered clouds
42,Hofn,IS,64.2539,-15.2082,37.31,74,93,18.68,overcast clouds
43,Saint-Paul,RE,-21.0096,55.2707,77.09,76,91,4.0,overcast clouds
44,Moron,AR,-34.6534,-58.6198,73.15,86,100,5.99,overcast clouds
