City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Half Moon Bay,US,2021-12-08 14:45:58,37.4636,-122.4286,53.94,95,90,0.0
1,Busselton,AU,2021-12-08 14:45:59,-33.65,115.3333,81.05,57,0,9.84
2,Mataura,NZ,2021-12-08 14:45:59,-46.1927,168.8643,53.47,95,100,0.27
3,Poum,NC,2021-12-08 14:46:00,-20.2333,164.0167,81.43,76,25,8.88
4,Rikitea,PF,2021-12-08 14:46:00,-23.1203,-134.9692,75.33,61,18,16.89
5,Bredasdorp,ZA,2021-12-08 14:46:00,-34.5322,20.0403,72.28,66,75,18.23
6,Vaini,TO,2021-12-08 14:46:01,-21.2,-175.2,75.36,88,75,6.91
7,Torbay,CA,2021-12-08 14:45:10,47.6666,-52.7314,35.58,58,75,14.97
8,Port Elizabeth,ZA,2021-12-08 14:46:02,-33.918,25.5701,70.09,78,90,9.22
9,Luderitz,NA,2021-12-08 14:46:02,-26.6481,15.1594,70.2,67,0,18.68
10,Mandalgovi,MN,2021-12-08 14:46:02,45.7625,106.2708,23.27,37,100,9.28
11,Geraldton,AU,2021-12-08 14:46:03,-28.7667,114.6,72.01,83,90,12.66
12,Puerto Ayora,EC,2021-12-08 14:46:03,-0.7393,-90.3518,71.26,78,99,9.28
13,Punta Arenas,CL,2021-12-08 14:44:05,-53.15,-70.9167,53.71,40,0,17.27
14,Mamakan,RU,2021-12-08 14:46:04,57.8161,114.0028,27.57,78,100,18.23
15,Cape Town,ZA,2021-12-08 14:43:33,-33.9258,18.4232,81.12,52,0,7.0
16,Lar,IN,2021-12-08 14:46:04,26.2039,83.9717,68.79,40,0,5.91
17,Muchkapskiy,RU,2021-12-08 14:46:05,51.8513,42.4717,38.05,82,100,13.35
18,Ust-Nera,RU,2021-12-08 14:46:05,64.5667,143.2,-50.37,99,72,4.43
19,Muyezerskiy,RU,2021-12-08 14:46:06,63.9333,31.65,8.51,98,98,2.73
20,Ketchikan,US,2021-12-08 14:46:06,55.3422,-131.6461,32.47,86,90,4.61
21,Kaitangata,NZ,2021-12-08 14:46:06,-46.2817,169.8464,53.24,88,100,2.01
22,Saint George,US,2021-12-08 14:46:01,37.1041,-113.5841,51.53,87,90,5.01
23,Sao Filipe,CV,2021-12-08 14:46:07,14.8961,-24.4956,78.58,59,100,9.28
24,Hobart,AU,2021-12-08 14:46:07,-42.8794,147.3294,51.66,74,40,0.0
25,Tasiilaq,GL,2021-12-08 14:46:08,65.6145,-37.6368,32.16,84,100,31.27
26,Kapit,MY,2021-12-08 14:46:08,2.0167,112.9333,74.39,99,76,0.74
27,Chilca,PE,2021-12-08 14:46:08,-12.5211,-76.7372,68.85,84,100,7.67
28,Ushuaia,AR,2021-12-08 14:41:23,-54.8,-68.3,51.42,50,40,3.44
29,Qaanaaq,GL,2021-12-08 14:46:09,77.484,-69.3632,8.47,62,100,10.13
30,Auki,SB,2021-12-08 14:46:09,-8.7676,160.7034,78.15,90,100,6.15
31,Sindor,RU,2021-12-08 14:46:10,62.8629,51.8905,12.83,93,100,7.83
32,Lindi,TZ,2021-12-08 14:46:10,-10.0,39.7167,81.48,73,44,7.61
33,La Paz,BO,2021-12-08 14:41:24,-16.5,-68.15,55.38,76,40,5.75
34,Harper,LR,2021-12-08 14:46:11,4.375,-7.7169,85.3,66,92,11.48
35,Castro,BR,2021-12-08 14:46:11,-24.7911,-50.0119,69.98,51,56,6.06
36,Khasan,RU,2021-12-08 14:46:11,42.4308,130.6434,31.44,78,2,3.8
37,Sistranda,NO,2021-12-08 14:46:12,63.7256,8.834,31.96,65,100,21.7
38,Laguna,US,2021-12-08 14:46:12,38.421,-121.4238,51.22,97,90,3.0
39,New Norfolk,AU,2021-12-08 14:46:12,-42.7826,147.0587,51.3,61,99,1.5
40,Lebu,CL,2021-12-08 14:46:12,-37.6167,-73.65,61.88,79,23,17.67
41,Havre-Saint-Pierre,CA,2021-12-08 14:46:13,50.2334,-63.5986,10.99,66,1,13.8
42,Cherskiy,RU,2021-12-08 14:46:13,68.75,161.3,-43.62,100,100,3.02
43,Kropotkin,RU,2021-12-08 14:46:14,45.4375,40.5756,49.68,73,83,7.36
44,Kapaa,US,2021-12-08 14:46:14,22.0752,-159.319,75.52,75,90,9.22
45,Arraial Do Cabo,BR,2021-12-08 14:47:15,-22.9661,-42.0278,71.56,94,90,5.75
46,Carnarvon,AU,2021-12-08 14:47:15,-24.8667,113.6333,71.67,88,75,16.11
47,Constitucion,CL,2021-12-08 14:47:15,-35.3333,-72.4167,67.55,59,2,9.89
48,Oistins,BB,2021-12-08 14:44:19,13.0667,-59.5333,82.49,74,40,23.02
49,Pangnirtung,CA,2021-12-08 14:47:16,66.1451,-65.7125,5.0,66,90,11.5
50,Kahului,US,2021-12-08 14:47:16,20.8947,-156.47,74.46,93,40,6.91
51,Grindavik,IS,2021-12-08 14:47:17,63.8424,-22.4338,36.07,87,75,18.41
52,Dikson,RU,2021-12-08 14:47:17,73.5069,80.5464,2.12,94,100,21.07
53,Piacabucu,BR,2021-12-08 14:47:17,-10.4056,-36.4344,87.39,57,48,16.08
54,Belmonte,BR,2021-12-08 14:47:18,-15.8631,-38.8828,77.5,89,90,12.06
55,Bengkulu,ID,2021-12-08 14:47:18,-3.8004,102.2655,77.25,89,45,4.63
56,Elizabeth City,US,2021-12-08 14:46:22,36.2946,-76.2511,46.99,95,90,10.36
57,Springdale,US,2021-12-08 14:47:20,36.1867,-94.1288,38.26,80,1,0.0
58,Buluang,PH,2021-12-08 14:47:20,13.3068,123.3425,74.79,88,100,8.16
59,Riyadh,SA,2021-12-08 14:45:55,24.6877,46.7219,75.34,27,47,7.96
60,Shelburne,CA,2021-12-08 14:46:13,44.0787,-80.2041,21.09,87,100,8.46
61,Te Anau,NZ,2021-12-08 14:47:21,-45.4167,167.7167,51.42,89,97,2.37
62,Jamestown,US,2021-12-08 14:46:31,42.097,-79.2353,27.72,91,90,1.99
63,Chuy,UY,2021-12-08 14:47:21,-33.6971,-53.4616,75.52,51,12,12.24
64,Port Alfred,ZA,2021-12-08 14:47:22,-33.5906,26.891,68.67,89,100,15.43
65,Atar,MR,2021-12-08 14:47:22,20.5169,-13.0499,84.2,7,96,15.14
66,Sola,VU,2021-12-08 14:47:23,-13.8833,167.55,80.82,78,100,3.96
67,Bogandinskiy,RU,2021-12-08 14:47:23,56.8937,65.8938,-0.13,91,95,5.39
68,Chengde,CN,2021-12-08 14:47:24,40.9725,117.9361,32.63,57,100,2.62
69,Kemijarvi,FI,2021-12-08 14:47:24,66.7131,27.4306,7.21,94,100,2.93
70,Avera,US,2021-12-08 14:47:24,33.194,-82.5271,47.71,95,100,6.24
71,Bluff,NZ,2021-12-08 14:47:25,-46.6,168.3333,53.8,87,100,5.84
72,Ashland,US,2021-12-08 14:47:25,40.8167,-82.2665,25.99,90,100,8.86
73,Albany,US,2021-12-08 14:46:18,42.6001,-73.9662,31.95,86,100,1.01
74,Paciran,ID,2021-12-08 14:47:26,-6.8767,112.3761,80.53,83,100,7.99
75,Khatanga,RU,2021-12-08 14:47:26,71.9667,102.5,1.9,88,100,10.94
76,Saint-Philippe,RE,2021-12-08 14:47:26,-21.3585,55.7679,80.22,71,26,10.38
77,Camopi,GF,2021-12-08 14:47:27,3.1655,-52.3158,89.13,54,60,2.75
78,Severo-Kurilsk,RU,2021-12-08 14:47:27,50.6789,156.125,31.41,60,93,27.98
79,Saskylakh,RU,2021-12-08 14:47:28,71.9167,114.0833,-6.45,97,100,7.36
80,Gerash,IR,2021-12-08 14:47:28,27.6652,54.1371,64.54,23,87,0.56
81,Portland,US,2021-12-08 14:44:43,45.5234,-122.6762,48.9,92,75,1.01
82,Klaksvik,FO,2021-12-08 14:47:29,62.2266,-6.589,41.92,74,100,31.47
83,Pevek,RU,2021-12-08 14:47:29,69.7008,170.3133,-19.93,99,100,2.64
84,Cururupu,BR,2021-12-08 14:47:30,-1.8283,-44.8683,90.18,55,50,8.41
85,Victoria,HK,2021-12-08 14:47:30,22.2855,114.1577,69.24,78,15,5.99
86,Nicoya,CR,2021-12-08 14:47:31,10.1483,-85.452,81.95,68,65,9.78
87,Norman Wells,CA,2021-12-08 14:47:31,65.282,-126.8329,-0.36,78,75,3.44
88,Bereznehuvate,UA,2021-12-08 14:47:31,47.3078,32.8499,46.96,87,100,7.49
89,Tiznit,MA,2021-12-08 14:47:32,29.5833,-9.5,63.46,33,57,8.84
90,Kalmunai,LK,2021-12-08 14:47:32,7.4167,81.8167,78.84,84,88,7.16
91,Agadir,MA,2021-12-08 14:47:32,30.4202,-9.5982,68.45,36,100,5.21
92,Hilo,US,2021-12-08 14:44:53,19.7297,-155.09,75.27,46,90,4.61
93,Dubbo,AU,2021-12-08 14:46:37,-32.25,148.6167,62.73,94,90,3.44
94,Roald,NO,2021-12-08 14:48:33,62.5833,6.1333,36.52,55,0,13.8
95,Kayerkan,RU,2021-12-08 14:48:34,69.3497,87.7602,-1.48,84,100,22.35
96,Aljezur,PT,2021-12-08 14:48:34,37.3191,-8.8033,59.38,60,75,18.7
97,Mahebourg,MU,2021-12-08 14:48:35,-20.4081,57.7,80.89,69,40,6.91
98,Benemerito De Las Americas,MX,2021-12-08 14:48:35,16.5167,-90.6439,73.47,95,97,0.69
99,Gat,IL,2021-12-08 14:45:05,31.61,34.7642,62.78,43,47,26.73
100,Hansi,IN,2021-12-08 14:48:36,29.1,75.9667,63.1,31,50,2.93
101,Vila,PT,2021-12-08 14:48:36,42.0304,-8.1588,41.88,92,100,12.24
102,Yellowknife,CA,2021-12-08 14:48:36,62.456,-114.3525,4.41,89,90,10.36
103,Nikolskoye,RU,2021-12-08 14:48:37,59.7035,30.7861,8.49,99,100,2.75
104,Hithadhoo,MV,2021-12-08 14:48:37,-0.6,73.0833,82.0,75,100,11.63
105,Longyearbyen,SJ,2021-12-08 14:48:37,78.2186,15.6401,28.24,80,75,6.91
106,Portel,BR,2021-12-08 14:48:38,-1.9356,-50.8211,89.76,52,25,3.38
107,Anamur,TR,2021-12-08 14:48:38,36.0751,32.8369,57.22,86,100,2.35
108,Bourail,NC,2021-12-08 14:48:39,-21.5667,165.4833,78.3,84,0,2.84
109,Srikakulam,IN,2021-12-08 14:48:39,18.3,83.9,75.87,77,10,12.77
110,Prince George,CA,2021-12-08 14:48:39,53.9166,-122.753,26.62,85,1,5.75
111,Camanducaia,BR,2021-12-08 14:48:40,-22.7553,-46.1447,65.25,67,92,5.01
112,Batemans Bay,AU,2021-12-08 14:48:41,-35.7167,150.1833,62.2,90,100,2.15
113,Saint Anthony,US,2021-12-08 14:45:10,45.0205,-93.218,9.55,80,1,0.0
114,Mount Gambier,AU,2021-12-08 14:48:41,-37.8333,140.7667,46.31,87,26,8.05
115,East London,ZA,2021-12-08 14:48:42,-33.0153,27.9116,70.74,94,75,9.22
116,Ribeira Grande,PT,2021-12-08 14:48:42,38.5167,-28.7,63.0,59,75,9.22
117,Weligama,LK,2021-12-08 14:47:11,5.9667,80.4167,78.04,86,84,2.19
118,Kodiak,US,2021-12-08 14:48:43,57.79,-152.4072,35.11,55,1,5.75
119,Malindi,KE,2021-12-08 14:48:43,-3.2175,40.1191,86.16,66,40,10.36
120,Oriximina,BR,2021-12-08 14:48:43,-1.7656,-55.8661,79.93,81,100,3.62
121,Lamar,US,2021-12-08 14:48:44,33.6668,-95.5836,43.36,87,1,5.75
